"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2001",62.6192315865682,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2002",72.5589173150447,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2003",84.072054435314,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2004",87.1542133494372,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2005",86.8239693453144,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2006",89.8899211298945,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2007",94.1712421358129,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2008",90.9111262700361,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2009",88.5576972545362,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2010",94.830565213247,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2011",88.7313570660925,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2012",84.9055753750436,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2013",87.6314960836709,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2014",93.2285059814864,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2015",100,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2016",104.714465995669,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2017",112.746590708338,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2018",110.409297709211,
"AUS","HOUSECOST","REAL","IDX2015","A","1970",26.5904104905459,
"AUS","HOUSECOST","REAL","IDX2015","A","1971",27.7163477201486,
"AUS","HOUSECOST","REAL","IDX2015","A","1972",29.1181017550791,
"AUS","HOUSECOST","REAL","IDX2015","A","1973",32.2692270883842,
"AUS","HOUSECOST","REAL","IDX2015","A","1974",34.2589782398504,
"AUS","HOUSECOST","REAL","IDX2015","A","1975",32.4263800438981,
"AUS","HOUSECOST","REAL","IDX2015","A","1976",31.7004101668006,
"AUS","HOUSECOST","REAL","IDX2015","A","1977",31.0931942011653,
"AUS","HOUSECOST","REAL","IDX2015","A","1978",30.15013559568,
"AUS","HOUSECOST","REAL","IDX2015","A","1979",31.1275969716912,
"AUS","HOUSECOST","REAL","IDX2015","A","1980",31.8918664829224,
"AUS","HOUSECOST","REAL","IDX2015","A","1981",33.6129618182074,
"AUS","HOUSECOST","REAL","IDX2015","A","1982",31.5611066638836,
"AUS","HOUSECOST","REAL","IDX2015","A","1983",30.5235682584173,
"AUS","HOUSECOST","REAL","IDX2015","A","1984",31.997989733953,
"AUS","HOUSECOST","REAL","IDX2015","A","1985",33.0677759464922,
"AUS","HOUSECOST","REAL","IDX2015","A","1986",32.7104873784107,
"AUS","HOUSECOST","REAL","IDX2015","A","1987",32.0954426055712,
"AUS","HOUSECOST","REAL","IDX2015","A","1988",36.7399120246482,
"AUS","HOUSECOST","REAL","IDX2015","A","1989",43.0587063740669,
"AUS","HOUSECOST","REAL","IDX2015","A","1990",41.0636686106315,
"AUS","HOUSECOST","REAL","IDX2015","A","1991",40.6087649679467,
"AUS","HOUSECOST","REAL","IDX2015","A","1992",40.4642853469065,
"AUS","HOUSECOST","REAL","IDX2015","A","1993",40.6647198527458,
"AUS","HOUSECOST","REAL","IDX2015","A","1994",41.4590101639809,
"AUS","HOUSECOST","REAL","IDX2015","A","1995",40.8316908306735,
"AUS","HOUSECOST","REAL","IDX2015","A","1996",40.3859323065784,
"AUS","HOUSECOST","REAL","IDX2015","A","1997",41.4062723363779,
"AUS","HOUSECOST","REAL","IDX2015","A","1998",43.8437834771285,
"AUS","HOUSECOST","REAL","IDX2015","A","1999",46.5255082974499,
"AUS","HOUSECOST","REAL","IDX2015","A","2000",48.7052542654063,
"AUS","HOUSECOST","REAL","IDX2015","A","2001",52.3893570624203,
"AUS","HOUSECOST","REAL","IDX2015","A","2002",60.4573246458806,
"AUS","HOUSECOST","REAL","IDX2015","A","2003",69.7581969478963,
"AUS","HOUSECOST","REAL","IDX2015","A","2004",73.0306098363176,
"AUS","HOUSECOST","REAL","IDX2015","A","2005",72.7946930572495,
"AUS","HOUSECOST","REAL","IDX2015","A","2006",75.1066589272474,
"AUS","HOUSECOST","REAL","IDX2015","A","2007",80.4981572958857,
"AUS","HOUSECOST","REAL","IDX2015","A","2008",81.1300997263803,
"AUS","HOUSECOST","REAL","IDX2015","A","2009",82.2548926093505,
"AUS","HOUSECOST","REAL","IDX2015","A","2010",89.8930298020369,
"AUS","HOUSECOST","REAL","IDX2015","A","2011",85.9027409255298,
"AUS","HOUSECOST","REAL","IDX2015","A","2012",83.6077030225515,
"AUS","HOUSECOST","REAL","IDX2015","A","2013",87.0339130010649,
"AUS","HOUSECOST","REAL","IDX2015","A","2014",93.1004057205136,
"AUS","HOUSECOST","REAL","IDX2015","A","2015",100,
"AUS","HOUSECOST","REAL","IDX2015","A","2016",104.513226568952,
"AUS","HOUSECOST","REAL","IDX2015","A","2017",111.802304195727,
"AUS","HOUSECOST","REAL","IDX2015","A","2018",108.439816227046,
"AUS","HOUSECOST","RENT","IDX2015","A","1973",9.366454920838,
"AUS","HOUSECOST","RENT","IDX2015","A","1974",10.4147668018458,
"AUS","HOUSECOST","RENT","IDX2015","A","1975",12.1239765154971,
"AUS","HOUSECOST","RENT","IDX2015","A","1976",13.9015517376939,
"AUS","HOUSECOST","RENT","IDX2015","A","1977",15.4284444285555,
"AUS","HOUSECOST","RENT","IDX2015","A","1978",16.7046520880815,
"AUS","HOUSECOST","RENT","IDX2015","A","1979",18.1175972646996,
"AUS","HOUSECOST","RENT","IDX2015","A","1980",19.3482274185284,
"AUS","HOUSECOST","RENT","IDX2015","A","1981",20.9206951150868,
"AUS","HOUSECOST","RENT","IDX2015","A","1982",23.3819529227441,
"AUS","HOUSECOST","RENT","IDX2015","A","1983",25.4557906819738,
"AUS","HOUSECOST","RENT","IDX2015","A","1984",27.3245234155654,
"AUS","HOUSECOST","RENT","IDX2015","A","1985",29.649048706131,
"AUS","HOUSECOST","RENT","IDX2015","A","1986",32.7028265878532,
"AUS","HOUSECOST","RENT","IDX2015","A","1987",36.0756670094583,
"AUS","HOUSECOST","RENT","IDX2015","A","1988",40.200552525069,
"AUS","HOUSECOST","RENT","IDX2015","A","1989",44.0063855007981,
"AUS","HOUSECOST","RENT","IDX2015","A","1990",46.6271708283963,
"AUS","HOUSECOST","RENT","IDX2015","A","1991",48.1540635192578,
"AUS","HOUSECOST","RENT","IDX2015","A","1992",48.6098560762319,
"AUS","HOUSECOST","RENT","IDX2015","A","1993",48.8377461047182,
"AUS","HOUSECOST","RENT","IDX2015","A","1994",49.1795861474482,
"AUS","HOUSECOST","RENT","IDX2015","A","1995",50.0227937528491,
"AUS","HOUSECOST","RENT","IDX2015","A","1996",51.5496864437107,
"AUS","HOUSECOST","RENT","IDX2015","A","1997",53.0537916317239,
"AUS","HOUSECOST","RENT","IDX2015","A","1998",54.6718393339798,
"AUS","HOUSECOST","RENT","IDX2015","A","1999",56.1303620162952,
"AUS","HOUSECOST","RENT","IDX2015","A","2000",57.8623622327952,
"AUS","HOUSECOST","RENT","IDX2015","A","2001",59.6627224578402,
"AUS","HOUSECOST","RENT","IDX2015","A","2002",61.1440351430043,
"AUS","HOUSECOST","RENT","IDX2015","A","2003",62.2835102854387,
"AUS","HOUSECOST","RENT","IDX2015","A","2004",63.8559779819972,
"AUS","HOUSECOST","RENT","IDX2015","A","2005",65.2689231586153,
"AUS","HOUSECOST","RENT","IDX2015","A","2006",67.3883384235422,
"AUS","HOUSECOST","RENT","IDX2015","A","2007",71.0802288850285,
"AUS","HOUSECOST","RENT","IDX2015","A","2008",76.6408470801058,
"AUS","HOUSECOST","RENT","IDX2015","A","2009",81.7456827182102,
"AUS","HOUSECOST","RENT","IDX2015","A","2010",85.300833162604,
"AUS","HOUSECOST","RENT","IDX2015","A","2011",89.2206111525763,
"AUS","HOUSECOST","RENT","IDX2015","A","2012",92.9125016140625,
"AUS","HOUSECOST","RENT","IDX2015","A","2013",95.9662819957851,
"AUS","HOUSECOST","RENT","IDX2015","A","2014",98.3819622977451,
"AUS","HOUSECOST","RENT","IDX2015","A","2015",100,
"AUS","HOUSECOST","RENT","IDX2015","A","2016",100.752062594008,
"AUS","HOUSECOST","RENT","IDX2015","A","2017",101.39016267377,
"AUS","HOUSECOST","RENT","IDX2015","A","2018",102.051037756198,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2000",58.5838607572211,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2001",59.0818235759493,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2002",59.4186807753164,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2003",59.579786392405,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2004",58.4374011075949,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2005",61.3519481803796,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2006",63.8710541930379,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2007",66.858831091772,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2008",67.5764833860759,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2009",70.212757120253,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2010",76.7974999999999,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2011",81.5974999999999,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2012",87.5699999999999,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2013",92.0999999999999,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2014",95.3299999999998,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2016",108.5325,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2017",114.2588,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2018",119.640000002051,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2000",82.167163993475,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2001",81.7435137357674,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2002",80.8924172516208,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2003",78.6669817928262,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2004",74.8197810687057,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2005",74.0968862855619,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2006",74.0231052712325,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2007",74.2041121834072,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2008",73.0219642814662,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2009",76.0451087347308,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2010",82.7082376316976,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2011",85.9130028697551,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2012",89.0984764174659,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2013",94.1832274617922,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2014",95.600744326373,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2015",100,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2016",105.821985690013,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2017",109.688661761597,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2018",110.296789250743,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2000",94.9301652346085,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2001",93.1076327927825,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2002",92.0962880430252,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2003",88.4778634571207,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2004",83.8710170402932,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2005",85.1295723643452,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2006",86.6759394235868,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2007",88.9793839470458,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2008",88.8166972358326,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2009",88.1608549216212,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2010",92.7494155949316,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2011",95.3808301171298,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2012",98.0493859875613,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2013",100.018495504905,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2014",99.5795662766005,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2015",100,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2016",105.309657374989,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2017",106.463083063775,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2018",107.479984315466,
"AUT","HOUSECOST","REAL","IDX2015","A","2000",78.1484660833411,
"AUT","HOUSECOST","REAL","IDX2015","A","2001",77.0066682295766,
"AUT","HOUSECOST","REAL","IDX2015","A","2002",76.5988571145321,
"AUT","HOUSECOST","REAL","IDX2015","A","2003",75.6527988147319,
"AUT","HOUSECOST","REAL","IDX2015","A","2004",72.9181171826794,
"AUT","HOUSECOST","REAL","IDX2015","A","2005",74.7561954593798,
"AUT","HOUSECOST","REAL","IDX2015","A","2006",76.2512365128476,
"AUT","HOUSECOST","REAL","IDX2015","A","2007",77.887615063768,
"AUT","HOUSECOST","REAL","IDX2015","A","2008",77.0990853356064,
"AUT","HOUSECOST","REAL","IDX2015","A","2009",79.729928272246,
"AUT","HOUSECOST","REAL","IDX2015","A","2010",85.7446962550541,
"AUT","HOUSECOST","REAL","IDX2015","A","2011",88.3756376920079,
"AUT","HOUSECOST","REAL","IDX2015","A","2012",92.5904442329609,
"AUT","HOUSECOST","REAL","IDX2015","A","2013",95.3737509336279,
"AUT","HOUSECOST","REAL","IDX2015","A","2014",96.7685522368617,
"AUT","HOUSECOST","REAL","IDX2015","A","2015",100,
"AUT","HOUSECOST","REAL","IDX2015","A","2016",107.042927251268,
"AUT","HOUSECOST","REAL","IDX2015","A","2017",110.500134285206,
"AUT","HOUSECOST","REAL","IDX2015","A","2018",113.325188594346,
"AUT","HOUSECOST","RENT","IDX2015","A","1966",6.67705693946615,
"AUT","HOUSECOST","RENT","IDX2015","A","1967",7.07486512479098,
"AUT","HOUSECOST","RENT","IDX2015","A","1968",7.57059493197715,
"AUT","HOUSECOST","RENT","IDX2015","A","1969",8.1230753851017,
"AUT","HOUSECOST","RENT","IDX2015","A","1970",9.04276350199559,
"AUT","HOUSECOST","RENT","IDX2015","A","1971",10.2022482155196,
"AUT","HOUSECOST","RENT","IDX2015","A","1972",11.2382178923437,
"AUT","HOUSECOST","RENT","IDX2015","A","1973",12.5412488811004,
"AUT","HOUSECOST","RENT","IDX2015","A","1974",13.1888690479556,
"AUT","HOUSECOST","RENT","IDX2015","A","1975",14.5792490953968,
"AUT","HOUSECOST","RENT","IDX2015","A","1976",17.1491460321163,
"AUT","HOUSECOST","RENT","IDX2015","A","1977",18.9640429733743,
"AUT","HOUSECOST","RENT","IDX2015","A","1978",19.9877725353227,
"AUT","HOUSECOST","RENT","IDX2015","A","1979",20.7016027263277,
"AUT","HOUSECOST","RENT","IDX2015","A","1980",21.393178589023,
"AUT","HOUSECOST","RENT","IDX2015","A","1981",22.6895318734543,
"AUT","HOUSECOST","RENT","IDX2015","A","1982",25.2928103026383,
"AUT","HOUSECOST","RENT","IDX2015","A","1983",28.9081311396744,
"AUT","HOUSECOST","RENT","IDX2015","A","1984",31.1052598765176,
"AUT","HOUSECOST","RENT","IDX2015","A","1985",33.2845814018264,
"AUT","HOUSECOST","RENT","IDX2015","A","1986",34.5926148111918,
"AUT","HOUSECOST","RENT","IDX2015","A","1987",35.7738022980787,
"AUT","HOUSECOST","RENT","IDX2015","A","1988",36.5488330634623,
"AUT","HOUSECOST","RENT","IDX2015","A","1989",37.516369157749,
"AUT","HOUSECOST","RENT","IDX2015","A","1990",39.0820096555547,
"AUT","HOUSECOST","RENT","IDX2015","A","1991",40.9731261482881,
"AUT","HOUSECOST","RENT","IDX2015","A","1992",43.6281485853044,
"AUT","HOUSECOST","RENT","IDX2015","A","1993",45.8970427276853,
"AUT","HOUSECOST","RENT","IDX2015","A","1994",48.8207947311884,
"AUT","HOUSECOST","RENT","IDX2015","A","1995",52.5134574426373,
"AUT","HOUSECOST","RENT","IDX2015","A","1996",55.7009295628562,
"AUT","HOUSECOST","RENT","IDX2015","A","1997",57.7345614220671,
"AUT","HOUSECOST","RENT","IDX2015","A","1998",59.4790457909712,
"AUT","HOUSECOST","RENT","IDX2015","A","1999",60.700649771748,
"AUT","HOUSECOST","RENT","IDX2015","A","2000",61.7280935996063,
"AUT","HOUSECOST","RENT","IDX2015","A","2001",63.4719080801139,
"AUT","HOUSECOST","RENT","IDX2015","A","2002",64.5470089683058,
"AUT","HOUSECOST","RENT","IDX2015","A","2003",67.3556335514503,
"AUT","HOUSECOST","RENT","IDX2015","A","2004",69.7013052625432,
"AUT","HOUSECOST","RENT","IDX2015","A","2005",72.0904722273269,
"AUT","HOUSECOST","RENT","IDX2015","A","2006",73.7066354745299,
"AUT","HOUSECOST","RENT","IDX2015","A","2007",75.1545742479303,
"AUT","HOUSECOST","RENT","IDX2015","A","2008",76.0978346007555,
