Variable,Description,Type
PIR_IBA,Property income received: IBA,Flow
PIR_PENA,Property income received: PENA,Flow
PIR_EQA,Property income received: EQA,Flow
PIP_IBL,Property income paid: IBL,Flow
PIP_EQL,Property income paid: EQL,Flow
PIP_PENL,Property income paid: PENL,Flow
PIR,Property income received,Flow
NPIR,Net property income received: Total,Flow
NPIR_NIB,Net property income received: NIB,Flow
NPIR_NEQ,Net property income received: NEQ,Flow
NPIR_NPEN,Net property income received: NPEN,Flow
PK,Price deflator: Investment (excluding dwellings),Deflation index
PM,Price deflator: Imports,Deflation index
PNFC,Price deflator: NFC K,Deflation index
POP,Population,Stock
PP,Unknown,Check
PRIVATE,Gross income,Flow
PROD,Labour Force: Labour productivity,Stock
PROFIT,Profit share (Residual of wage share),Ratio
PX,Price deflator: Exports,Deflation index
PY,Price deflator: GDP,Deflation index
R_EQ,Rate of return: Equities,Rate
R_ERROR1,Property income error,Check
R_ERROR2,Property income error,Check
R_ERROR3,Property income error,Check
R_IBA,Rate of interest: Interest bearing assets,Rate
R_IBL,Rate of interest: Interest bearing liabilities,Rate
R_IBL_SENS,Rate of interest: Interest bearing liabilities: Weighted mortgage interest rate,Rate
R_N,Rate of return: Mean,Rate
R_NET_ERROR1,Property income error,Check
R_NET_ERROR101,Property income error,Check
R_NET_ERROR2,Property income error,Check
R_NET_ERROR201,Property income error,Check
R_NET_ERROR3,Property income error,Check
R_NET_ERROR301,Property income error,Check
R_PEN,Rate of return: Pensions,Rate
R_R_IBL,Rate of interest: Interest bearing liabilities,Rate
RHO,Equity ratio,Ratio
RR,Rate of return,Rate
S,Savings,Flow
SBE,Social benefit transfers,Flow
SCO,Social benefit contributions,Flow
STRA,Social transfers,Flow
T,Taxes on products,Flow
TAX,Tax,Flow
TEST,Test variable: Stock of Capital (Change in),Check
TESTO,Test variable: Stock of Capital (Change in),Check
TOBIN_Q,Index: House price index: Tobin's Q = Ratio between the house price index and the construction cost of housing index,Index
TOP,Ratio of foreign to domestic trade,Ratio
UL_COST,Labour force: Unit labour cost,Rate
ULC,Labour force: Unit labour cost: Price index: Index for the price deflator with reference to 2010 (all other price deflator indices are referenced to 2010),Rate
UN,Labour force: Unemployed persons,Stock
UR,Labour force: Unemployment rate,Ratio
W,Wages,Flow
WAGE,Labour force: Wage rate,Rate
WI,Inflation rate: Wage inflation,Rate
WS,Wage share,Ratio
X,Exports,Flow
XR,Exchange rate,Rate
Y,Total income,Flow
Y_D,Disposable Income,Flow
ZZ,Index: House price index,Index
ZZ_I,Index: House price: Imported from DST,Index
ZZ_INDEX,Index: House price: Mark-up pricing on construction costs,Index
ZZ1,Index: House price: Imported from DST,Index
